response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
13.3030,0.0396,0.0011,0.0001,0.0389,13.2244,200,0.0011
13.3240,0.0184,0.0006,0.0000,0.0265,13.2790,200,0.0008
13.3333,0.0573,0.0010,0.0000,0.0361,13.2399,200,0.0012
13.3998,0.0183,0.0007,0.0000,0.0229,13.3587,200,0.0010
13.4832,0.0181,0.0010,0.0000,0.0233,13.4416,200,0.0005
13.4846,0.0187,0.0015,0.0000,0.0232,13.4426,200,0.0005
13.4866,0.0296,0.0007,0.0000,0.0173,13.4396,200,0.0008
13.5076,0.0189,0.0008,0.0000,0.0175,13.4712,200,0.0006
13.5191,0.0610,0.0011,0.0000,0.0475,13.4105,200,0.0010
13.5269,0.0168,0.0011,0.0001,0.0027,13.5073,200,0.0010
13.5315,0.0479,0.0012,0.0000,0.0448,13.4387,200,0.0011
13.5439,0.0491,0.0010,0.0000,0.0353,13.4594,200,0.0012
13.6173,0.0183,0.0010,0.0000,0.0112,13.5877,200,0.0010
13.6273,0.0418,0.0005,0.0000,0.0404,13.5451,200,0.0009
13.6280,0.0365,0.0011,0.0001,0.0446,13.5468,200,0.0003
13.6287,0.0563,0.0009,0.0000,0.0311,13.5412,200,0.0011
13.6409,0.0401,0.0009,0.0000,0.0366,13.5641,200,0.0009
13.6460,0.0472,0.0009,0.0000,0.0414,13.5574,200,0.0010
13.6529,0.0205,0.0001,0.0000,0.0254,13.6069,200,0.0012
13.6543,0.0443,0.0005,0.0004,0.0361,13.5735,200,0.0008
13.6562,0.0477,0.0013,0.0000,0.0392,13.5692,200,0.0010
13.6570,0.0477,0.0008,0.0000,0.0448,13.5645,200,0.0010
13.6674,0.0529,0.0010,0.0000,0.0323,13.5822,200,0.0007
13.6773,0.0422,0.0010,0.0059,0.0369,13.5923,200,0.0007
13.6836,0.0420,0.0010,0.0001,0.0427,13.5988,200,0.0007
13.6857,0.0408,0.0006,0.0000,0.0371,13.6077,200,0.0010
13.6940,0.0355,0.0009,0.0000,0.0509,13.6075,200,0.0011
13.6996,0.0386,0.0008,0.0013,0.0388,13.6209,200,0.0009
13.7134,0.0357,0.0008,0.0000,0.0432,13.6344,200,0.0008
13.7235,0.0569,0.0008,0.0000,0.0381,13.6284,200,0.0010
13.7251,0.0414,0.0011,0.0000,0.0358,13.6478,200,0.0010
13.7624,0.0397,0.0011,0.0000,0.0381,13.6845,200,0.0010
13.7732,0.0395,0.0010,0.0000,0.0383,13.6954,200,0.0012
13.7920,0.0481,0.0013,0.0000,0.0443,13.6997,200,0.0007
13.8066,0.0423,0.0011,0.0000,0.0359,13.7284,200,0.0004
13.8358,0.0476,0.0005,0.0001,0.0371,13.7510,200,0.0009
13.8390,0.0578,0.0008,0.0000,0.0518,13.7292,200,0.0006
13.8470,0.0481,0.0012,0.0000,0.0398,13.7590,200,0.0010
13.8576,0.0411,0.0011,0.0000,0.0367,13.7797,200,0.0008
13.8628,0.0359,0.0009,0.0000,0.0758,13.7509,200,0.0003
13.8628,0.0571,0.0011,0.0000,0.0359,13.7698,200,0.0010
13.8640,0.0477,0.0013,0.0003,0.0398,13.7762,200,0.0006
13.8733,0.0401,0.0007,0.0000,0.0380,13.7952,200,0.0009
13.8774,0.0355,0.0008,0.0045,0.0388,13.7986,200,0.0009
13.9002,0.0455,0.0009,0.0005,0.0386,13.8156,200,0.0006
13.9381,0.0481,0.0011,0.0000,0.0386,13.8514,200,0.0012
13.9552,0.0475,0.0011,0.0000,0.0411,13.8666,200,0.0010
13.9760,0.0184,0.0004,0.0000,0.0325,13.9250,200,0.0009
14.0752,0.0357,0.0009,0.0042,0.0422,13.9931,200,0.0011
14.1028,0.0521,0.0007,0.0000,0.0355,14.0151,200,0.0007
12.4944,0.0000,0.0000,0.0000,0.0252,12.4692,200,13.4837
12.6846,0.0000,0.0000,0.0000,0.0268,12.6578,200,13.3041
12.7942,0.0000,0.0000,0.0000,0.0243,12.7698,200,13.3248
12.7483,0.0000,0.0000,0.0000,0.0268,12.7214,200,13.4008
12.6778,0.0000,0.0000,0.0000,0.0249,12.6528,200,13.4874
12.3574,0.0000,0.0000,0.0000,0.0241,12.3332,200,13.8742
