response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.7193,0.0201,0.0010,0.0000,0.0439,8.6553,200,0.0006
8.7201,0.0132,0.0004,0.0000,0.0075,8.6992,200,0.0006
8.7230,0.0208,0.0009,0.0016,0.0412,8.6594,200,0.0006
8.7505,0.0227,0.0010,0.0000,0.0401,8.6876,200,0.0006
8.7855,0.0204,0.0013,0.0000,0.0336,8.7315,200,0.0006
8.8386,0.0208,0.0009,0.0000,0.0287,8.7891,200,0.0008
8.8574,0.0132,0.0011,0.0000,0.0083,8.8358,200,0.0004
8.8699,0.0131,0.0011,0.0000,0.0080,8.8488,200,0.0006
8.8725,0.0201,0.0003,0.0000,0.0339,8.8185,200,0.0006
8.8857,0.0200,0.0009,0.0000,0.0438,8.8218,200,0.0006
8.9064,0.0202,0.0011,0.0000,0.0294,8.8568,200,0.0007
8.9115,0.0204,0.0009,0.0000,0.0334,8.8576,200,0.0002
8.9185,0.0202,0.0010,0.0000,0.0292,8.8690,200,0.0005
8.9233,0.0228,0.0004,0.0000,0.0428,8.8577,200,0.0005
8.9294,0.0226,0.0005,0.0000,0.0431,8.8637,200,0.0005
8.9301,0.0198,0.0000,0.0000,0.0400,8.8703,200,0.0008
8.9478,0.0200,0.0010,0.0001,0.0396,8.8881,200,0.0006
8.9646,0.0209,0.0010,0.0000,0.0330,8.9106,200,0.0007
8.9656,0.0223,0.0010,0.0000,0.0317,8.9116,200,0.0007
8.9983,0.0252,0.0007,0.0000,0.0291,8.9439,200,0.0002
9.0231,0.0225,0.0010,0.0000,0.0407,8.9598,200,0.0005
9.0381,0.0201,0.0010,0.0000,0.0338,8.9841,200,0.0008
9.0480,0.0228,0.0005,0.0000,0.0406,8.9846,200,0.0003
9.0727,0.0202,0.0011,0.0001,0.0433,9.0092,200,0.0004
9.1174,0.0239,0.0010,0.0000,0.0367,9.0568,200,0.0007
9.1275,0.0225,0.0011,0.0000,0.0413,9.0637,200,0.0008
9.1396,0.0232,0.0004,0.0000,0.0373,9.0790,200,0.0005
9.1976,0.0214,0.0008,0.0011,0.0409,9.1342,200,0.0004
9.2029,0.0197,0.0001,0.0001,0.0336,9.1494,200,0.0008
9.2235,0.0199,0.0012,0.0004,0.0337,9.1695,200,0.0007
9.2451,0.0225,0.0010,0.0001,0.0315,9.1910,200,0.0003
9.3015,0.0221,0.0014,0.0003,0.0314,9.2477,200,0.0007
7.9300,0.0000,0.0000,0.0000,0.0282,7.9018,200,8.7861
7.8049,0.0000,0.0000,0.0000,0.0259,7.7790,200,8.9653
7.8661,0.0000,0.0000,0.0000,0.0244,7.8417,200,8.9190
